S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Car_Age,Brand,Model
1300,Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,2012,120000,Diesel,Manual,First,12.8 kmpl,2494.0,102.0,7.0,,12.0,12,Toyota,Innova2.5
1301,Maruti Swift LDI,Mumbai,2015,14000,Diesel,Manual,First,28.4 kmpl,1248.0,74.0,5.0,7.13 Lakh,5.25,9,Maruti,SwiftLDI
1302,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,57456,Diesel,Automatic,First,17.68 kmpl,1968.0,174.33,5.0,,21.56,10,Audi,A62011-2015
1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,Diesel,Automatic,First,22.48 kmpl,1995.0,190.0,5.0,71.82 Lakh,24.68,12,BMW,5Series
1304,Hyundai i20 Magna Optional 1.2,Delhi,2013,63777,Petrol,Manual,First,18.5 kmpl,1197.0,82.9,5.0,,3.67,11,Hyundai,i20Magna
1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,Diesel,Automatic,First,17.05 kmpl,1995.0,190.0,5.0,50.97 Lakh,29.5,8,BMW,X1M
1306,Toyota Etios G,Delhi,2012,60000,Petrol,Manual,First,17.6 kmpl,1496.0,88.73,5.0,,3.1,12,Toyota,EtiosG
1307,Tata Indigo LX,Ahmedabad,2015,78008,Diesel,Manual,First,17.0 kmpl,1405.0,70.0,5.0,,2.9,9,Tata,IndigoLX
1308,Mercedes-Benz M-Class ML 350 4Matic,Bangalore,2014,33000,Diesel,Automatic,Second,0.0 kmpl,2987.0,165.0,5.0,,43.0,10,Mercedes-Benz,M-ClassML
1309,Volkswagen Beetle 2.0,Mumbai,2009,27078,Petrol,Automatic,First,10.98 kmpl,1984.0,114.4,4.0,,15.95,15,Volkswagen,Beetle2.0
1310,Volkswagen Polo GT TDI,Hyderabad,2011,57275,Diesel,Manual,First,19.7 kmpl,1598.0,103.6,5.0,,4.5,13,Volkswagen,PoloGT
1311,Hyundai Grand i10 CRDi Magna,Delhi,2014,45000,Diesel,Manual,First,24.0 kmpl,1120.0,70.0,5.0,,3.49,10,Hyundai,Grandi10
1312,Maruti Swift VDI BSIV,Delhi,2014,57319,Diesel,Manual,First,25.2 kmpl,1248.0,74.0,5.0,,4.25,10,Maruti,SwiftVDI
1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,24.0 kmpl,1396.0,88.76,5.0,10.73 Lakh,1.9,16,Hyundai,VernaCRDi
1314,BMW 5 Series 2003-2012 525d,Mumbai,2011,89000,Diesel,Automatic,First,16.73 kmpl,1995.0,218.0,5.0,,16.57,13,BMW,5Series
1315,Honda City 1.5 S MT,Bangalore,2012,72000,Petrol,Manual,First,17.0 kmpl,1497.0,118.0,5.0,,5.75,12,Honda,City1.5
1316,Audi A4 2.0 TDI,Delhi,2013,36000,Diesel,Automatic,Second,16.55 kmpl,1968.0,147.51,5.0,,14.0,11,Audi,A42.0
1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5 kmpl,1248.0,75.0,5.0,9.5 Lakh,2.5,11,Fiat,LineaClassic
1318,Honda City 1.3 EXI,Ahmedabad,2002,85000,Petrol,Manual,First,13.0 kmpl,1343.0,90.0,5.0,,1.2,22,Honda,City1.3
1319,Fiat Petra 1.2 EL,Pune,2005,120000,Petrol,Manual,Second,15.5 kmpl,1242.0,,5.0,,0.85,19,Fiat,Petra1.2
1320,BMW 3 Series 320d Luxury Line,Kochi,2013,37613,Diesel,Automatic,First,22.69 kmpl,1995.0,190.0,5.0,52.46 Lakh,13.95,11,BMW,3Series
1321,Ford Fiesta 1.4 Duratec EXI,Chennai,2007,100000,Petrol,Manual,First,16.6 kmpl,1388.0,68.0,5.0,,1.6,17,Ford,Fiesta1.4
1322,Tata Nano XTA,Coimbatore,2016,5240,Petrol,Automatic,First,21.9 kmpl,624.0,37.48,4.0,,3.6,8,Tata,NanoXTA
1323,Maruti Eeco 5 STR With AC Plus HTR CNG,Mumbai,2018,20000,CNG,Manual,First,15.1 km/kg,1196.0,73.0,5.0,,4.5,6,Maruti,Eeco5
1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,Petrol,Manual,First,20.89 kmpl,1197.0,81.8,5.0,6.07 Lakh,6.06,5,Maruti,Ignis1.2
1325,Maruti Swift Dzire ZXi,Coimbatore,2013,59254,Petrol,Manual,Second,17.5 kmpl,1298.0,85.8,5.0,,5.29,11,Maruti,SwiftDzire
1326,Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,60000,Diesel,Manual,First,22.7 kmpl,1498.0,89.84,5.0,,5.75,10,Ford,Ecosport1.5
1327,Maruti Swift 1.3 ZXI,Hyderabad,2015,50295,Petrol,Manual,First,16.1 kmpl,,,,,5.8,9,Maruti,Swift1.3
1328,Maruti Swift Dzire VXI,Coimbatore,2014,47674,Petrol,Manual,First,19.1 kmpl,1197.0,85.8,5.0,,5.72,10,Maruti,SwiftDzire
1329,Hyundai i10 Sportz AT,Kochi,2014,61517,Petrol,Automatic,First,16.95 kmpl,1197.0,78.9,5.0,,4.39,10,Hyundai,i10Sportz
1330,Mahindra XUV500 W6 2WD,Coimbatore,2016,62946,Diesel,Manual,First,15.1 kmpl,2179.0,140.0,7.0,,11.05,8,Mahindra,XUV500W6
1331,Hyundai i20 Magna 1.4 CRDi,Delhi,2015,66823,Diesel,Manual,Second,22.54 kmpl,1396.0,88.73,5.0,,4.83,9,Hyundai,i20Magna
1332,Maruti Wagon R CNG LXI,Pune,2013,79494,CNG,Manual,First,33.54 km/kg,998.0,67.04,5.0,5.54 Lakh,2.96,11,Maruti,WagonR
1333,Hyundai i20 Asta 1.4 CRDi,Chennai,2012,107000,Diesel,Manual,Second,21.27 kmpl,1396.0,88.76,5.0,,4.5,12,Hyundai,i20Asta
1334,BMW 7 Series 730Ld,Mumbai,2011,55000,Diesel,Automatic,Second,16.46 kmpl,2993.0,258.0,5.0,,19.5,13,BMW,7Series
1335,Skoda Rapid 1.6 MPI AT Style Plus,Mumbai,2017,24000,Petrol,Automatic,First,14.3 kmpl,1598.0,103.52,5.0,,8.75,7,Skoda,Rapid1.6
1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,Diesel,Automatic,First,14.75 kmpl,2967.0,245.0,7.0,1.04 Cr,67.0,8,Audi,Q745
1337,Honda City i VTEC VX,Kochi,2016,54317,Petrol,Manual,First,17.4 kmpl,1497.0,117.3,5.0,,8.4,8,Honda,Cityi
1338,Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,10200,Petrol,Manual,First,19.1 kmpl,1197.0,82.0,5.0,,4.99,8,Hyundai,Xcent1.2
1339,Honda City i DTec E,Coimbatore,2016,24337,Diesel,Manual,First,26.0 kmpl,1498.0,98.6,5.0,,8.18,8,Honda,Cityi
1340,Honda Brio S Option MT,Pune,2012,79000,Petrol,Manual,First,18.4 kmpl,1198.0,86.8,5.0,,2.9,12,Honda,BrioS
1341,Maruti Ciaz ZDi Plus SHVS,Jaipur,2015,40500,Diesel,Manual,First,28.09 kmpl,1248.0,88.5,5.0,,7.1,9,Maruti,CiazZDi
1342,Maruti Swift Dzire VDI Optional,Pune,2016,23000,Diesel,Manual,First,26.59 kmpl,1248.0,74.0,5.0,,7.05,8,Maruti,SwiftDzire
1343,Honda CR-V 2.4L 4WD AT,Pune,2015,63050,Petrol,Automatic,First,11.1 kmpl,2354.0,158.8,5.0,,17.5,9,Honda,CR-V2.4L
1344,Toyota Corolla Altis 2008-2013 1.8 VL AT,Mumbai,2008,78000,Petrol,Automatic,Second,14.53 kmpl,1794.0,138.1,5.0,,3.41,16,Toyota,CorollaAltis
1345,Maruti Baleno Vxi,Pune,2005,70000,Petrol,Manual,First,0.0 kmpl,1590.0,94.0,5.0,,1.3,19,Maruti,BalenoVxi
1346,Honda City 1.5 V MT,Coimbatore,2012,66245,Petrol,Manual,First,17.0 kmpl,1497.0,118.0,5.0,,5.68,12,Honda,City1.5
1347,Mahindra Scorpio LX BS IV,Bangalore,2007,74112,Diesel,Manual,First,12.05 kmpl,2179.0,120.0,9.0,,4.1,17,Mahindra,ScorpioLX
1348,Skoda Laura 1.8 TSI Ambiente,Delhi,2011,87670,Petrol,Manual,First,13.4 kmpl,1798.0,157.8,5.0,,4.0,13,Skoda,Laura1.8
1349,BMW 3 Series 320d Sport Line,Hyderabad,2015,10000,Diesel,Automatic,First,18.88 kmpl,1995.0,184.0,5.0,,30.0,9,BMW,3Series
1350,Maruti SX4 Zxi BSIII,Chennai,2007,62493,Petrol,Manual,First,15.0 kmpl,1586.0,104.68,5.0,,1.8,17,Maruti,SX4Zxi
1351,Maruti Ciaz VXi Plus,Kochi,2015,44620,Petrol,Manual,First,20.73 kmpl,1373.0,91.1,5.0,,6.93,9,Maruti,CiazVXi
1352,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Bangalore,2012,66538,Diesel,Automatic,First,10.2 kmpl,4367.0,308.0,7.0,,70.0,12,Land Rover,RoverRange
1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Ahmedabad,2013,60000,Diesel,Manual,First,12.99 kmpl,2494.0,100.0,7.0,,7.9,11,Toyota,Innova2.5
1354,Hyundai Santro Xing GL,Kochi,2011,20842,Petrol,Manual,First,0.0 kmpl,1086.0,62.0,5.0,,2.78,13,Hyundai,SantroXing
1355,Hyundai Santa Fe 4WD AT,Chennai,2014,110000,Diesel,Automatic,First,13.01 kmpl,2199.0,194.3,7.0,,14.4,10,Hyundai,SantaFe
1356,Mercedes-Benz New C-Class C250 Avantgarde,Mumbai,2011,45000,Petrol,Automatic,Second,11.74 kmpl,1796.0,186.0,5.0,,13.5,13,Mercedes-Benz,NewC-Class
1357,Maruti Wagon R LXI CNG,Mumbai,2014,40000,CNG,Manual,Second,26.6 km/kg,998.0,58.16,5.0,,3.15,10,Maruti,WagonR
1358,Maruti Alto LXi,Coimbatore,2012,49008,Petrol,Manual,First,19.7 kmpl,796.0,46.3,5.0,,2.88,12,Maruti,AltoLXi
1359,Maruti Alto 800 2016-2019 LXI,Kolkata,2016,31000,Petrol,Manual,First,24.7 kmpl,796.0,47.3,5.0,,2.15,8,Maruti,Alto800
1360,Nissan Sunny 2011-2014 XV,Pune,2013,8000,Petrol,Manual,First,16.95 kmpl,1498.0,97.7,5.0,,3.75,11,Nissan,Sunny2011-2014
1361,Maruti Alto 800 2016-2019 VXI,Mumbai,2019,171,Petrol,Manual,First,24.7 kmpl,796.0,47.3,5.0,,3.6,5,Maruti,Alto800
1362,Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07 kmpl,998.0,67.1,5.0,4.33 Lakh,3.6,6,Maruti,AltoK10
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,Petrol,Automatic,First,18.9 kmpl,1197.0,81.86,5.0,8.63 Lakh,7.55,6,Hyundai,Grandi10
1364,Honda Mobilio S i DTEC,Kolkata,2015,50000,Diesel,Manual,First,24.2 kmpl,1498.0,98.6,7.0,,4.7,9,Honda,MobilioS
1365,Tata Manza Aqua Quadrajet,Jaipur,2010,100030,Diesel,Manual,Second,18.8 kmpl,1248.0,90.0,5.0,,1.6,14,Tata,ManzaAqua
1366,Chevrolet Optra Magnum 2.0 LT,Pune,2011,75372,Diesel,Manual,First,16.52 kmpl,1991.0,123.7,5.0,,3.34,13,Chevrolet,OptraMagnum
1367,Honda City i VTEC CVT VX,Kochi,2016,60475,Petrol,Automatic,First,18.0 kmpl,1497.0,117.3,5.0,,9.1,8,Honda,Cityi
1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,Petrol,Manual,First,18.9 kmpl,1197.0,81.86,5.0,6.68 Lakh,6.17,5,Hyundai,Grandi10
1369,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0 kmpl,1582.0,126.2,5.0,14.07 Lakh,2.5,16,Hyundai,VernaCRDi
1370,Nissan Micra XL,Kolkata,2016,31001,Petrol,Manual,First,18.44 kmpl,1198.0,75.0,5.0,,3.0,8,Nissan,MicraXL
1371,Hyundai Verna 1.6 SX,Jaipur,2012,65900,Diesel,Manual,First,22.32 kmpl,1582.0,126.32,5.0,,5.75,12,Hyundai,Verna1.6
1372,Hyundai Creta 1.6 VTVT E Plus,Bangalore,2017,26246,Petrol,Manual,First,15.29 kmpl,1591.0,121.3,5.0,,10.75,7,Hyundai,Creta1.6
1373,Maruti Wagon R VXI BS IV,Jaipur,2013,62700,Petrol,Manual,Second,20.51 kmpl,998.0,67.04,5.0,,2.85,11,Maruti,WagonR
1374,Honda Accord 2.4 Elegance A/T,Chennai,2008,90000,Petrol,Automatic,First,10.2 kmpl,2354.0,180.0,5.0,,6.5,16,Honda,Accord2.4
1375,Honda City 1.5 S AT,Bangalore,2016,36000,Petrol,Automatic,First,16.8 kmpl,1497.0,118.0,5.0,,9.45,8,Honda,City1.5
1376,Maruti Baleno Alpha 1.3,Delhi,2016,46000,Diesel,Manual,First,27.39 kmpl,1248.0,74.0,5.0,,6.75,8,Maruti,BalenoAlpha
1377,Honda City i DTec V,Coimbatore,2017,73003,Diesel,Manual,First,26.0 kmpl,1498.0,98.6,5.0,,7.75,7,Honda,Cityi
1378,Hyundai i20 Era 1.4 CRDi,Kochi,2014,46566,Diesel,Manual,First,22.54 kmpl,1396.0,88.76,5.0,,4.4,10,Hyundai,i20Era
1379,Mercedes-Benz E-Class 2015-2017 E350 Edition E,Jaipur,2015,41493,Diesel,Automatic,First,13.0 kmpl,2987.0,265.0,5.0,,42.0,9,Mercedes-Benz,E-Class2015-2017
1380,Nissan Terrano XV 110 PS,Kochi,2014,103788,Diesel,Manual,First,19.01 kmpl,1461.0,108.5,5.0,,5.67,10,Nissan,TerranoXV
1381,Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,Diesel,Automatic,First,19.6 kmpl,1461.0,108.45,5.0,15.05 Lakh,11.5,8,Renault,Duster110PS
1382,Maruti Wagon R LXI Minor,Pune,2009,120000,Petrol,Manual,First,18.9 kmpl,998.0,67.1,5.0,,1.69,15,Maruti,WagonR
1383,Hyundai Getz 1.5 CRDi GVS,Jaipur,2009,97359,Diesel,Manual,Second,17.1 kmpl,1493.0,110.0,5.0,,1.8,15,Hyundai,Getz1.5
1384,Maruti Ritz LXi,Mumbai,2016,62000,Petrol,Manual,First,18.5 kmpl,1197.0,85.8,5.0,,3.2,8,Maruti,RitzLXi
1385,Honda City 1.5 GXI,Pune,2004,115000,Petrol,Manual,Second,0.0 kmpl,1497.0,118.0,5.0,,1.5,20,Honda,City1.5
1386,BMW 5 Series 520d Sport Line,Kochi,2019,18373,Diesel,Automatic,First,22.48 kmpl,1995.0,187.74,5.0,,45.86,5,BMW,5Series
1387,Volkswagen Polo 1.2 MPI Highline,Hyderabad,2016,60453,Petrol,Manual,First,16.47 kmpl,1198.0,74.0,5.0,,5.1,8,Volkswagen,Polo1.2
1388,Maruti Swift VDI BSIV,Pune,2013,37000,Diesel,Manual,First,17.8 kmpl,1248.0,74.0,5.0,,4.85,11,Maruti,SwiftVDI
1389,Ford Figo Petrol ZXI,Mumbai,2010,69009,Petrol,Manual,Second,15.6 kmpl,1196.0,70.0,5.0,,2.4,14,Ford,FigoPetrol
1390,BMW 3 Series 320d Luxury Line,Hyderabad,2013,30000,Diesel,Automatic,First,18.88 kmpl,1995.0,184.0,5.0,,22.0,11,BMW,3Series
1391,Hyundai Verna 1.6 SX CRDi (O),Delhi,2012,70707,Diesel,Manual,First,22.32 kmpl,1582.0,126.32,5.0,,4.28,12,Hyundai,Verna1.6
1392,Renault Duster 85PS Diesel RxL,Coimbatore,2015,64677,Diesel,Manual,First,20.45 kmpl,1461.0,83.8,5.0,,5.67,9,Renault,Duster85PS
1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9 kmpl,1197.0,81.86,5.0,7.98 Lakh,6.2,6,Hyundai,Grandi10
1394,BMW X1 sDrive20d,Bangalore,2013,49000,Diesel,Automatic,Second,17.05 kmpl,1995.0,184.0,5.0,,14.49,11,BMW,X1sDrive20d
1395,Maruti Ritz VDi,Pune,2010,71000,Diesel,Manual,First,21.1 kmpl,1248.0,73.9,5.0,,3.0,14,Maruti,RitzVDi
1396,Hyundai i10 Era 1.1 iTech SE,Jaipur,2010,52000,Petrol,Manual,Second,19.81 kmpl,1086.0,68.05,5.0,,2.25,14,Hyundai,i10Era
1397,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Kochi,2016,35659,Diesel,Automatic,First,15.97 kmpl,2993.0,258.0,7.0,,43.78,8,BMW,X52014-2019
1398,Honda City V MT Exclusive,Kochi,2019,5377,Petrol,Manual,First,16.8 kmpl,1497.0,116.3,5.0,,11.45,5,Honda,CityV
1399,Mahindra Ssangyong Rexton RX7,Delhi,2014,65000,Diesel,Automatic,First,11.18 kmpl,2696.0,184.0,7.0,,10.5,10,Mahindra,SsangyongRexton
1400,Ford Ecosport 1.5 DV5 MT Titanium Optional,Coimbatore,2015,92708,Diesel,Manual,First,22.7 kmpl,1498.0,89.84,5.0,,7.48,9,Ford,Ecosport1.5
1401,Maruti Alto LXi,Coimbatore,2010,48105,Petrol,Manual,First,19.7 kmpl,796.0,46.3,5.0,,3.1,14,Maruti,AltoLXi
1402,Volkswagen Polo 1.2 MPI Highline,Mumbai,2011,46759,Petrol,Manual,First,16.47 kmpl,1198.0,74.0,5.0,,2.55,13,Volkswagen,Polo1.2
1403,Volkswagen Polo Diesel Comfortline 1.2L,Jaipur,2013,62000,Diesel,Manual,First,22.07 kmpl,1199.0,73.9,5.0,,3.5,11,Volkswagen,PoloDiesel
1404,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2012,35175,Diesel,Manual,First,22.07 kmpl,1199.0,73.9,5.0,,2.59,12,Volkswagen,PoloDiesel
1405,Maruti Ertiga ZDI,Kolkata,2013,70000,Diesel,Manual,First,20.77 kmpl,1248.0,88.8,7.0,,5.45,11,Maruti,ErtigaZDI
1406,Ford EcoSport 1.5 TDCi Ambiente,Kolkata,2017,30000,Diesel,Manual,First,22.77 kmpl,1498.0,98.59,5.0,,6.0,7,Ford,EcoSport1.5
1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,Diesel,Automatic,First,11.36 kmpl,2755.0,171.5,7.0,24.82 Lakh,15.49,8,Toyota,InnovaCrysta
1408,BMW 5 Series 523i Sedan,Mumbai,2010,69300,Petrol,Automatic,Second,10.8 kmpl,2497.0,150.0,5.0,,12.5,14,BMW,5Series
1409,Maruti Swift Dzire Tour LDI,Kolkata,2017,148000,Diesel,Manual,First,23.4 kmpl,1248.0,74.0,5.0,,4.75,7,Maruti,SwiftDzire
1410,Ford Ecosport 1.0 Ecoboost Platinum Edition,Mumbai,2017,22000,Petrol,Manual,First,18.88 kmpl,999.0,123.24,5.0,,7.85,7,Ford,Ecosport1.0
1411,Hyundai Verna CRDi SX,Ahmedabad,2013,75000,Diesel,Manual,First,16.8 kmpl,1493.0,110.0,5.0,,6.0,11,Hyundai,VernaCRDi
1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57 kmpl,1193.0,88.7,5.0,7.63 Lakh,4.0,8,Tata,ZestRevotron
1413,Audi A7 2011-2015 3.0 TDI Quattro,Mumbai,2011,42000,Diesel,Automatic,First,14.4 kmpl,2967.0,241.4,5.0,,28.75,13,Audi,A72011-2015
1414,Tata Indica Vista Quadrajet VX,Pune,2012,65000,Diesel,Manual,First,22.3 kmpl,1248.0,74.0,5.0,,2.5,12,Tata,IndicaVista
1415,Maruti Swift Dzire VDI,Delhi,2015,76128,Diesel,Manual,First,26.59 kmpl,1248.0,74.0,5.0,,5.5,9,Maruti,SwiftDzire
1416,Fiat Linea Emotion,Kolkata,2010,39852,Petrol,Manual,First,16.0 kmpl,1368.0,90.0,5.0,,1.59,14,Fiat,LineaEmotion
1417,Hyundai i20 1.2 Spotz,Mumbai,2017,18673,Petrol,Manual,First,18.6 kmpl,1197.0,81.83,5.0,,6.22,7,Hyundai,i201.2
1418,Hyundai EON Era Plus,Kolkata,2016,11583,Petrol,Manual,First,21.1 kmpl,814.0,55.2,5.0,,2.75,8,Hyundai,EONEra
1419,Hyundai Santro Xing XL,Chennai,2007,82000,Petrol,Manual,Second,0.0 kmpl,1086.0,62.1,5.0,,1.35,17,Hyundai,SantroXing
1420,Mercedes-Benz GLA Class 200 CDI SPORT,Pune,2017,50000,Diesel,Automatic,First,17.9 kmpl,2143.0,136.0,5.0,,25.0,7,Mercedes-Benz,GLAClass
1421,Maruti Celerio VXI,Delhi,2014,77000,Petrol,Manual,First,23.1 kmpl,998.0,67.04,5.0,,2.8,10,Maruti,CelerioVXI
1422,Chevrolet Beat LT,Mumbai,2014,54890,Petrol,Manual,Second,17.8 kmpl,1199.0,76.8,5.0,,2.45,10,Chevrolet,BeatLT
1423,Honda Jazz 1.2 V AT i VTEC Privilege,Pune,2016,21000,Petrol,Automatic,First,19.0 kmpl,1199.0,88.7,5.0,,6.35,8,Honda,Jazz1.2
1424,BMW 3 Series 320d Highline,Mumbai,2009,58557,Diesel,Automatic,Third,16.07 kmpl,1995.0,181.0,5.0,,8.0,15,BMW,3Series
1425,Renault Duster 110PS Diesel RxL,Bangalore,2014,70000,Diesel,Manual,First,19.01 kmpl,1461.0,108.45,5.0,,8.25,10,Renault,Duster110PS
1426,Ford Figo 2015-2019 1.5P Titanium AT,Mumbai,2017,16000,Petrol,Automatic,First,17.01 kmpl,1499.0,110.4,5.0,,5.95,7,Ford,Figo2015-2019
1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.68 kmpl,2393.0,147.8,7.0,22.86 Lakh,19.92,6,Toyota,InnovaCrysta
1428,Chevrolet Beat Diesel LS,Kochi,2016,83629,Diesel,Manual,First,25.44 kmpl,936.0,56.3,5.0,,3.15,8,Chevrolet,BeatDiesel
1429,Volkswagen Polo GTI,Chennai,2014,35059,Petrol,Automatic,First,17.21 kmpl,1798.0,189.0,4.0,,5.75,10,Volkswagen,PoloGTI
1430,Ford Endeavour 3.2 Trend AT 4X4,Kochi,2018,30552,Diesel,Automatic,First,10.91 kmpl,3198.0,197.2,7.0,,32.44,6,Ford,Endeavour3.2
1431,Hyundai Verna 1.6 SX CRDI (O) AT,Kochi,2016,44875,Diesel,Automatic,Second,22.32 kmpl,1582.0,126.32,5.0,,8.01,8,Hyundai,Verna1.6
1432,Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,Petrol,Manual,First,18.16 kmpl,1196.0,86.8,5.0,,6.48,7,Ford,Figo2015-2019
1433,Maruti 800 AC,Jaipur,2007,59000,Petrol,Manual,First,16.1 kmpl,796.0,37.0,4.0,,0.75,17,Maruti,800AC
1434,Honda City i DTEC V,Kolkata,2014,36000,Diesel,Manual,First,26.0 kmpl,1498.0,98.6,5.0,,5.0,10,Honda,Cityi
1435,Mahindra XUV500 W8 2WD,Mumbai,2012,37000,Diesel,Manual,First,16.0 kmpl,2179.0,140.0,7.0,,7.75,12,Mahindra,XUV500W8
1436,Ford Figo Diesel ZXI,Chennai,2010,90000,Diesel,Manual,First,20.0 kmpl,1399.0,68.0,5.0,,2.6,14,Ford,FigoDiesel
1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,17.0 kmpl,1497.0,121.36,5.0,11.06 Lakh,9.2,6,Ford,EcoSport1.5
1438,Hyundai i20 Asta 1.2,Mumbai,2015,42575,Petrol,Manual,First,18.6 kmpl,1197.0,81.83,5.0,,5.05,9,Hyundai,i20Asta
1439,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Hyderabad,2012,131000,Diesel,Manual,First,12.99 kmpl,2494.0,100.0,7.0,,9.6,12,Toyota,Innova2.5
1440,Renault Duster 85PS Diesel RxL Optional,Mumbai,2013,74000,Diesel,Manual,First,20.46 kmpl,1461.0,83.8,5.0,,5.5,11,Renault,Duster85PS
1441,Toyota Innova 2.5 VX (Diesel) 8 Seater,Mumbai,2013,47234,Diesel,Manual,First,12.99 kmpl,2494.0,100.6,8.0,,9.35,11,Toyota,Innova2.5
1442,Honda City 1.5 S MT,Delhi,2009,231673,Petrol,Manual,First,17.0 kmpl,1497.0,118.0,5.0,,2.6,15,Honda,City1.5
1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07 kmpl,998.0,67.1,5.0,4.53 Lakh,3.5,8,Maruti,AltoK10
1444,Nissan Micra Active XL Petrol,Kochi,2016,49389,Petrol,Manual,First,19.49 kmpl,1198.0,67.04,5.0,,4.26,8,Nissan,MicraActive
1445,Maruti Celerio VXI AT,Chennai,2016,12000,Petrol,Automatic,Second,23.1 kmpl,998.0,67.04,5.0,,4.25,8,Maruti,CelerioVXI
1446,Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,65000,Petrol,Manual,Second,11.7 kmpl,1796.0,178.0,5.0,,11.75,14,Mercedes-Benz,NewC-Class
1447,Ford Fiesta Diesel Style,Chennai,2013,177000,Diesel,Manual,First,23.5 kmpl,1498.0,88.7,5.0,,3.5,11,Ford,FiestaDiesel
1448,Hyundai Verna 1.6 VTVT S,Jaipur,2015,89000,Petrol,Manual,First,17.01 kmpl,1591.0,121.3,5.0,,7.5,9,Hyundai,Verna1.6
1449,Hyundai i20 1.4 Asta (AT),Chennai,2009,72000,Petrol,Automatic,Third,15.0 kmpl,1396.0,100.0,5.0,,3.25,15,Hyundai,i201.4
1450,Maruti Swift Dzire VXi,Chennai,2012,49000,Petrol,Manual,First,17.5 kmpl,1298.0,85.8,5.0,,4.9,12,Maruti,SwiftDzire
1451,Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,Hyderabad,2014,51355,Diesel,Automatic,First,14.84 kmpl,2143.0,170.0,5.0,,27.0,10,Mercedes-Benz,NewC-Class
1452,Hyundai Elite i20 Petrol Asta,Kochi,2017,13460,Petrol,Manual,First,18.6 kmpl,1197.0,81.86,5.0,,8.91,7,Hyundai,Elitei20
1453,Hyundai Verna 1.6 VTVT EX AT,Kochi,2014,35642,Petrol,Automatic,First,17.01 kmpl,1591.0,121.4,5.0,,6.69,10,Hyundai,Verna1.6
1454,Chevrolet Cruze LTZ,Kochi,2014,52895,Diesel,Manual,First,17.3 kmpl,1998.0,163.7,5.0,,6.02,10,Chevrolet,CruzeLTZ
1455,Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.28 kmpl,1798.0,138.03,5.0,19.39 Lakh,4.5,14,Toyota,CorollaAltis
1456,Maruti A-Star Vxi,Pune,2011,70000,Petrol,Manual,First,19.0 kmpl,998.0,66.1,5.0,,2.0,13,Maruti,A-StarVxi
1457,Nissan Micra Diesel XV Premium,Kolkata,2012,32048,Diesel,Manual,First,23.08 kmpl,1461.0,63.1,5.0,,2.4,12,Nissan,MicraDiesel
1458,Tata Nano LX,Pune,2013,4700,Petrol,Manual,First,25.4 kmpl,624.0,37.48,4.0,,1.2,11,Tata,NanoLX
1459,Maruti Swift Dzire Tour LDI,Delhi,2014,71800,Diesel,Manual,First,23.4 kmpl,1248.0,74.0,5.0,,2.9,10,Maruti,SwiftDzire
1460,Land Rover Range Rover Sport 2005 2012 Sport,Coimbatore,2008,69078,Petrol,Manual,First,0.0 kmpl,2179.0,187.7,5.0,,40.88,16,Land Rover,RoverRange
